NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,KATEGORI,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN,
185,Peluntur Lemak,"Melarutkan lemak dalam tubuh, Mengurangi nafsu makan, Menyusutkan lemak perut, Menurunkan kolesterol, Melancarkan BAB","kunyit, temulawak, jahe, serai","1 hari 5 kapsul, minumlah secara rutin dalam satu bulan badan akan turun 2 sampai 3 kg",tidak ada,kapsul,Karya Ibu Abdullah,Jamu Kesehatan,madura,,Pamekasan,BPOM,
186,empot-empotan,"Mengobati keputihan, Menyehatkan / menyingsetkan badan, Menambah gairah hubungan suami-istri, Mengobati gatal² dan menghilangkan bau badan dan bau mulut, Cocok bulanan, Menguatkan otot² muda kembali","daun sirih, majakani, dll",3x2 kapsul setiap hari,tidak ada,kapsul,Karya Ibu Abdullah,Jamu Pasutri,madura,,Pamekasan,BPOM,
187,Kuat Semangat Helbeh Mutiara,"Mengatasi lemah syahwat, sakit pinggang, rematik, encok dll, Helbeh mutiara ini merangsang otot dan syaraf yang lemah pada seluruh organ tubuh, Menghilangkan jantung berdebar, letih, lesu, dan asam urat, Menghilangkan nyeri tulang dan tambah darah","pinang, lada hitam, jahe, dll",2x3 kapsul setiap hari,tidak ada,kapsul,Karya Ibu Abdullah,Jamu Pasutri,madura,,Pamekasan,BPOM,
188,jamu kuat Helbeh Mutiara,"Menghilangkan rasa letih, Menambah tenaga /energi, Mengobati lemah syahwat, Mengobati jantung berdebar, Menghilangkan sakit pinggang, Menghilangkan rematik/encok, Mengurangi asam urat, Menghancurkan batu ginjal","jinten, kapulaga, cabe jamu, kencur dll","2x2 sendok makan setiap hari untuk yang lemah syahwat, lebih baik ditambah kuning telur",tidak ada,cair,Karya Ibu Abdullah,Jamu Pasutri,madura,,Pamekasan,BPOM,
189,jamu kuat pria dewasa semalam di madura,meningkatkan stamina dan daya tubuh pria saat berhubungan intim,"eksrak eurycoma longloia radix, zingber rhizoma, ekstrak yohimbe, ekstrak gingseng, ekstrak mranca fragara, ekstrak sariego, bahan bahan rahasia lainnya",minum 2 kapsul dengan air hangat satu jam sebelum berhubungan,tidak ada,kapsul,PD Sakera Madura,Jamu Pasutri,online,,pamekasan,KEMENKES,
190,jamu helbeh semangat ramuan herbal madura,"menguatkan badan, mencerdaskan otak, mencegah rematik, menambah semangat, menyembuhkan batuk asma, menyembuhkan sakit pinggang","biji pala, bawang putih, ketumbar, jahe",1 sendok makan dicampur dengan 1 butir kuning telur dan di tambahkan air panas secukupnya. Diminum 2 atau 3 kali dalam sepekan (per 4 hari),tidak ada,selai,JKU SUPER,Jamu Kesehatan,madura,pamekesan,Pamekasan,Tidak ada,
191,jamu sariwangi ramuan madura,"untuk membantu menghilangkan bau mulut dan bau badan pada pria dan wanita, produk sari wangi ini merupakan jamu herbal yang bisa membantu menghilangkan bau mulut, bau badan dan keringat serta bau yang keluar dari tubuh manusia, dan juga bau yang keluar dari mulut yang bersumber dari perut dan pencernaan.","Citrus Hystrix Cortex, Coriandrum Sativum Semen Ekstrak, Curcuma Xanthorrizae Rhizoma Extract, Ekstrak Piper Bettle Folium, Kaempferia Galanga Rhizoma Ekstrak","
2 x 4 kapsul sehari",tidak ada,kapsul,jokotole,Jamu Kesehatan,indonesia,,Bangkalan,Tidak ada,
,Serimpang,"untuk kesehatan tubuh, membuat badan menjadi fresh kembali",kunyit dan gula,larutkan 2 sdm ekstrak herbal kunyit dengan 150 ml air panas atau dingin,tidak ada,serbuk,UD. SIMPANG TIGA,Jamu Kesehatan,,,Sampang,P-IRT,
192,Lancar darah,"untuk melancarkan keluarnya darah pada waktu dan masa datang bulan, mencegah dan mengurangi sakit perut, sakit pinggang, pusing, dan nyeri yang timbul pada masa datang bulan","kunyit, jahe, kayu manis, dll",minum teratur sehari 2 pil,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,,,sampang,KEMENKES,
193,jamu tradisional madura kecantikan,"menjaga agar badan tetap sehat, segar, awet muda dan mencegah timbulnya jerawat, melangsingkan tubuh dan mengencangkan tubuh, mengurangi bau badan","kunyit, jahe, madu, dll",2x sehari,tidak ada,pil,Ny. Hj Hayati,Jamu Perawatan Kewanitaan,,,Sampang,KEMENKES,
195,jamu gendong klasik madura(JKM),"Menjaga kebersihan Miss V, Mencegah keputihan, Menghilangkan bau tak sedap, Menghilangkan gatal - gatal, Mengurangi lendir berlebih, Merapatkan miss V, Empot - Empot, Membuat Miss V lebih keset dan harum, Mengencangkan otot - otot Miss V, Cocok untuk ibu menyusui, Melancarkan HAID, Mendetox kotoran yang ada pada rahim",,"Minumlah secara teratur setiap hari, 5 BUTIR SETELAH MAKAN DIPAGI HARI DAN 5 BUTIR DISORE ATAU MALAM HARI WAJIB SETELAH MAKAN",tidak ada,pil,JKM,Jamu Perawatan Kewanitaan,,,,Tidak ada,
