NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,KATEGORI,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN,
1,Galian Rapat Wangi,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan","kunci, kunyit, pinang muda parabes","Untuk mencegah keputihan dan kelebihan lendir : Minum secara teratur 1 x sehari 4 pil hingga sembuh : Untuk mencegah bau badan, bau keringat dan bau mulut : 1 x sehari 4 pil setiap pagi",tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,Jamu Perawatan Kewanitaan
2,Empot-empot legit,"Mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan","kunci, kunyit, pinang muda parabes","Diminum langsung 10 pil, 30-45menit sebelum makan atau satu jam sebelum berhubungan badan",tidak ada,pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,Jamu Pasutri
3,galian singset,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB","kunyit, daun sirih, delima putih",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,Jamu Kesehatan
4,jamu kecantikan,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan","daun sirih, kunyit, kulit manggis, kunci, pinang muda",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
5,jamu galian montok,untuk menambah nafsu makan,"temulawak , jahe",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
6,jamu terlambat bulan (lancar darah),mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,"kunyit, kunci","TERLAMBAT 1 - 5 HARI : MINUMLAH 3 X 2 KAPSUL SEHARI, TERLAMBAT 5 HARI LEBIH : MINUMLAH 3 X 5 KAPSUL SEHARI",tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
7,jamu melancarkan asi (pejje),melancarkan keluarnya ASI,"daun katule,kedawung, morinya, kulit manggis, temu ireng",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
8,serbuk wasiat dan butiran delima,mengatasi keputihan dan lendir berlebih di area kewanitaan,"manjakani, daun sirih, pinang muda, air kapur sirih",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
9,parfum rempah,menyegarkan bau badan dengan aroma khas rempah khas,"kayu gaharu, sentok",semprotkan secukupnya di area badan yang bau,tidak ada,cair,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
10,cebokan rempah,mengatasi keputihan dan gatal akibat bakteri dan jamur,"temu gunung, daun sirih",Semprotkan ke area kewanitaan setelah buang air kecil secukupnya,tidak ada,serbuk,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
11,pancuran nikmat,antiseptik kewanitaan tanpa dibilas,"daun sirih, air kapur sirih, kunci",Semprot 2-3 kali ke area kewanitaan setelah buang air kecil,tidak ada,cair,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
12,sabun kesed,sabun khusus wanita untuk mengatasi keputihan,"minyak zaitun, daun sirihair kapur sirih, essence","Disabunkan pada vagina bagian dalam dan luar merata, di diamkan kurang lebih 1 menit",tidak ada,cair,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
13,v-spa rempah,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,"kayu gaharu, seccang, sentok, temu gunung, pandiyan","Rebus 1 bungkus V spa dengan 1 liter air sampai mendidih, Lalu saring air rebusannya, Uap rebusan dapat di jadikan uap untuk area miss V, Air rebusan yang hangat di gunakan untuk cebok /membasuh miss V",tidak ada,serbuk,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
14,jamu bersalin,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan ASI dan mencegah timbulnya varises","jamu asi, param atas, param bawah, cebokan, dupa, godokan temulawak, jamu 40hari tapel pales",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
15,paket perawatan pranikah,"mengurangi bau badan, membuat kulit bersih dan lebih cerah","lulur rempah, mandi rempah dupa, sabun keset, godokan rapetwangi, arfum rempah cemceman rambut",Rangkaian perawatan dipakai mulai 2-3minggu sebelum hari H agar hasil lebih optimal,tidak ada,serbuk,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
16,1 paket ramuan khusus wanita,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,"rapet wangi, empot, butiran delima, pancuran nikmat",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
17,jamu penyubur kandungan,menyuburkan kandungan,"kunyit, temu gunung sentok, temulawak",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
18,cemceman rambut,mengatasi ketombe dan kerontokan rambut,"jeruk purut, sentok",semprotkan pada rambut setelah keramas atau mau tidur,tidak ada,cair,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
19,minyak bulus,mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri),konsentrat lemak penyu air tawar,Oleskan minyak bulus secukupnya pada area yang diinginkan. Diamkan selama 15-30 menit kemudian bilas dengan air hangat hingga bersih,tidak ada,cair,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
20,minyak zaitun,merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh,Ekstrak buah zaitun,Oleskan minyak zaitun secukupnya pada area tubuh yang diinginkan. Bilas hingga bersih.,tidak ada,cair,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
21,lulur rempah,membuat kulit bersih serta tampak lebih cerah,"panduyang, manyir, kulit jeruk perut",larutkan satu sendok lulur dgn air secukupnya oleskan pada wajah dan seluruh tubuh sambil di gosok dengan halus sampai lulur mengering dan terlepas berjatuhan dengan kotoran2 di kulit kita.,tidak ada,serbuk,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
22,bedak dingin,"masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori","bengkoang, tepung beras","Pecah bedak dingin, ambil secukupnya. Campurkan dengan air atau air mawar. Kemudian oleskan pada wajah dan leher secara merata, tunggu hingga kering. Bilas dengan air hingga bersih.",tidak ada,serbuk,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
23,pegal linu,"mengurangi capek, nyeri sendi dan melancarkan peredaran darah","lempuyang, laos, cabe jamu jahe merah, kencur, merica, ketumbar, sentok peok",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
24,jamu pembersih darah,mengatasi gatal gatal dan alergi pada kulit,"sambel loto, daun bawang, bawang putih",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
25,jamu kencing manis,menurunkan kadar gula dalam darah,lempuyang,Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
26,bumbu minuman pokak,"meredakan masuk angin, demam, batuk, dan flu, serta meningkatkan daya tahan tubuh","jahe emprit, sentok, kayu manis, cengkeh, jeruk puru",200 ml porsi,tidak ada,cair,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
27,1 paket jamu suami istri,mengharmoniskan hubungan intim suami istri,"kunci, kunyit, pinang muda parabes, delima, sirih, temu kunci, adas manis, rempah",3-5 butir tiap hari,tidak ada,Serbuk dan pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
28,Jamu ma'jun super (plus madu),"menambah stamina saat berhubungan , menambah masa otot dan melancarkan peredaran darah",bahan sehat lelaki + madu,3 kali sehari 1-2 sendok makan,tidak ada,selai,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
29,jamu jantan super,menjaga stamina tubuh agar tetap fit dalam berhubungan,"gingseng, pasak bumi, cabe jamu, jahe merah, temu ireng", 5 sampai 10 butir [menurut kebutuhan] diminum kira-kira 3-5 jam sebelum aktivitas,tidak ada,pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
30,jamu aktivitas,penambah stamina khusus pekerja berat. Suplemen khusus untuk menambah stamina pria dalam berhubungan,"madu, jintan hitam, jahe","2x2 butir sehari, diminum 2 jam sebelum melakukan aktivitas",tidak ada,pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
31,jamu darah tinggi,menurunkan tekanan darah tinggi,"daun salam, temu ireng, kunyit, bawang putih",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
32,1 paket ramuan khusus pria,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,"sehat lelaki, ma'jun aktivitas",Minumlah secara teratur 2 kali sehari @5 pil dan 2 x sehari @ 1 bungkus,tidak ada,Serbuk dan pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
33,Jamu Tradisional Madura,"Buat Kesehatan, Bau Badan, Keputihan","Sirih, Kunyit, Jahe, Kencur, Temulawak",1-2 x sehari @ 1 bungkus sesuai kebutuhan.,tidak ada,cair dan serbuk,Jamu Tradisional Madura,Jamu Perawatan Kewanitaan,Burneh ,Burneh,Bangkalan,Tidak ada,
34,Bom,"Untuk kuat berhubungan, dan Pegal - pegal",Rempah,1-2 x sehari @ 1 bungkus sesuai kebutuhan.,Pusing ringan,serbuk,Jamu Assegaf,Jamu Pasutri,se-madura,Klobungan Jeddih,Bangkalan,Tidak ada,
35,Jamu Hitam,Untuk segala macam penyakit,Herbal,Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Jamu Intan,Jamu Kesehatan,Bangkalan,Jl. Ki Lemur Duwur,Bangkalan,Tidak ada,
36,Jamu Pelintiran darah tinggi,"Menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, Menormalkan jantung kembali",Rempah-rempah,diminum 2 kali sehari sebanyak 1–2,tidak ada,pil,Sari Madu,Jamu Kesehatan,Se-indonesia,Bangkalan,Bangkalan,Tidak ada,
37,Empot-empot Super,Memulihkan elastisitas organ intim wanita;  Mengencangkan otot miss V;  Mengencangkan payudara;  Mengencangkan seluruh kulit shg tampak lebih muda;  Menambah gairah dan semangat dalam berhubungan suami istri;  Menghilangkan gatal di miss V,rempah,2x sehari @3pil,tidak ada,pil,Firdaus Kurnia Indah,Jamu Pasutri,madura dan sekitarnya,Bancaran,Bangkalan,Tidak ada,
38,Jamu selokarang,"Menurunkan pusing, panas dalam sakit gigi tenggorokan",rempah,2x sehari,tidak ada,cair,Kampung Paseraman Kamal,Jamu Kesehatan,Se-indonesia,Bangkalan,Bangkalan,Tidak ada,
39,Jamu Bengkes,Awet Muda Wajah Berseri,Rempah - Rempah,1-2 x sehari @ 1 bungkus sesuai kebutuhan.,tidak ada,serbuk,Njonja Boolan,Jamu Perawatan Kewanitaan,"Bangkalan, Kamal, Tanjung Bumi, Arosbaya",bangkalan,Bangkalan,Tidak ada,
40,Empot Ayam Super,Melegitkan dan menghaluskan vagina; Mengencangkan otot kendur setelah melahirkan;  Menghilangkan bau serta gatal;  Mengatasi masalah ibu yang ikut bermacam  KB;  Untuk wanita frigid dan suami istri selalu harmonis; ,Rempah-rempah, Diminum 3 × @3 kapsul sehari,tidak ada,pil,Jamu Pusaka Kraton Cakraningrat,Jamu Pasutri,"Madura, Luar Jawa",Bangkalan,Bangkalan,Tidak ada,
41,Jamu Delima Putih,Mengatasi keputihan / pektay,Rempah-rempah,1-2 x sehari @ 1 bungkus sesuai kebutuhan. 1 bungkus diseduh dengan 100 cc (± ½ gelas) air panas,tidak ada,serbuk,Jamu Putri Bangkalan,Jamu Perawatan Kewanitaan,madura,Bangkalan,Bangkalan,Tidak ada,
42,Sariawan Sekalor,"Menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeien , demam, kolesterol dan mendetox darah.","Sirih, Kunyit, Meniran, Pare, ketumbar, kencur, adas manis, sambiloto, secang","Sehari 2x Pagi 5 butir, Malam 5 butir",tidak ada,pil,Mustika Madura,Jamu Kesehatan,hingga luar madura,Jl.Jokotole No.20,pamekasan,Tidak ada,
43,Galian Singset ( Susut Perut),"Melangsingkan badan, mengecilkan dan mengencangkan perut kendur, memadatkan tubuh,melancarkan BAB, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit.","Temu Kunci, Temu Lawak, Sirih, Lengkuas, Partai Cina, Adas Manis, Delima, Asam Gelugur",1 x 5 butir sehari / sore hari,tidak ada,pil,Mustika Madura,Jamu Kesehatan,hingga luar madura,Jl.Jokotole No.20,pamekasan,Tidak ada,
44,Sehat Laki-laki Perkasa,"Menambah stamina dan juga menambah hormon, Menghilangkan capek, Menjaga tubuh tetap perkasa, Tidak mudah masuk angin, Mengentalkan sperma, Mencegah ejakulasi dini.","Kubeba, Jahe, Jintan hitam, kemukus, kapulaga, jintan putih, fenugreek",1 x 3 butir sehari/ sore hari. Penderita darah tinggi dan jantung tidak dianjurkan untuk meminum jamu ini.,tidak ada,pil,Mustika Madura,Jamu Pasutri,hingga luar madura,Jl.Jokotole No.20,pamekasan,Tidak ada,
45,Sari Rapet Empot-Empot,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / gatal disebabkan bakteri, Merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.","Ek Quercus Lusitanica, Terminalia Chebula, delima, sirih, temu kunci, adas manis",Setiap hari 5 butir/sore hari,tidak ada,pil,Mustika Madura,Jamu Pasutri,hingga luar madura,Jl.Jokotole No.20,pamekasan,Tidak ada,
46,Pluntur(Pelancar Darah),"Melancarkan darah, menghilangkan pegal linu, menjaga stamina tubuh, mengurangi angka kelahiran.","Kubeba, Lengkuas, Lada Jawa, jahe, jintan putih","Setiap berhubungan 5 butir, Jika mengalami terlambat mens diminum setiap hari sampai 10 butir.",tidak ada,pil,Mustika Madura,Jamu Kesehatan,hingga luar madura,Jl.Jokotole No.20,pamekasan,Tidak ada,
47,Strong,"Menambah stamina tubuh, Menghilangkan capek Menjaga tubuh tetap perkasa,  Mengentalkan sperma, Mencegah ejakulasi dini, Tahan lama.","Kubeba, Jahe, Jintan Hitam, Kemukus, Kapulaga, Jintan Putih, Fenugreek",1 x 2 kapsul. Penderita darah tinggi dan jantung tidak dianjurkan untuk meminum jamu ini.,tidak ada,kapsul,Pj. Alam Insani Herbal,Jamu Pasutri,hingga luar madura,,pamekasan,Tidak ada,
48,Seger Montok,"Mengencangkan dan memontokkan payudara, Memadatkan tubuh, Mencerahkan wajah, Memberi nafsu makan, Menyehatkan badan.","Temu lawak, adas manis, lengkuas, temu kunci, delima,jintan hitam",1xsehari 5 butir.,tidak ada,pil,Mustika Madura,Jamu Perawatan Kewanitaan,hingga luar madura,Jl.Jokotole No.24,pamekasan,Tidak ada,
49,Rapet Wangi Spesial,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / Gatal disebabkan bakteri, merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.","Oak Lusitanica Lamk, Terminalia Chebula, delima, sirih, temu kunci, adas manis",2 x 2 kapsul / pagi-sore hari,tidak ada,kapsul,Mustika Madura,Jamu Pasutri,hingga luar madura,Jl.Jokotole No.25,pamekasan,Tidak ada,
50,Tolak Angin,"Menyembuhkan demam, pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh.","lengkuas, jintan hitam, kapulaga, petai cina, adas manis, temu lawak, jahe","Sehari 2x Pagi 5 butir, Malam 5 butir",tidak ada,pil,Mustika Madura,Jamu Kesehatan,hingga luar madura,Jl.Jokotole No.26,pamekasan,Tidak ada,
51,Subur Kandungan,"untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. Jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan.","curcuma mangae rhizoma, acorus lalamus, alil sativi bulbus, rempah lain","Satu bungkus jamu ini direbus dengan 1 liter air selama  10 menit, diminum setiap hari pagi dan sore 1 gelas. Apabila habis airnya ditambah air lagi, dan rebus kembali.",tidak ada,serbuk,Mustika Madura,Jamu Perawatan Kewanitaan,hingga luar madura,Jl.Jokotole No.27,pamekasan,Tidak ada,
52,Sehat Wanita,"memadatkan tubuh, mengencangkan payudara yang kendur, menghilangkan bau badan, menyegarkan tubuh, menghilangkan letih, lesu & Capek, Mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan, Membersihkan darah nifas, Merapatkankan kewanitaan, aman di konsumsi baik remaja perempuan maupun ibu, tidak disarankan mengkonsumsi untuk ibu hamil.","kaemferia pandurata roxb, curcuma xanthorhiza roxb, piper betle linn, cinnomum galanga L, Parkia roxi Burghii, foeniculum vulgar, punica granatum linn, guarzuma ulmifolia lamk",1x5 butir sehari/sore hari,tidak ada,pil,Mustika Madura,Jamu Perawatan Kewanitaan,hingga luar madura,Jl.Jokotole No.28,pamekasan,Tidak ada,
53,Sehat Laki-laki ( Helbeh),"Mengatasi lemah syahwat, Memperbaiki kualitas sperma, menambah /  Meningkatkan stamina (Pria  &  wanita)","Zengiber Officinale ROSC, Nigela sativa Linn, Trigomnella Foenum Graecum, piper cubeba, Foeniculum vulgare mill, piper retro fractum vahl",1 sendok teh setiap pagi/sore sesudah makan,tidak ada,cair,Mustika Madura,Jamu Pasutri,hingga luar madura,Jl.Jokotole No.29,pamekasan,Tidak ada,
54,Natural Lulur Sari temugiring,"Menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh.",Terbuat dari ekstrak Sari Temu Giring.,larutkan satu sendok lulur dgn air secukupnya oleskan pada wajah dan seluruh tubuh sambil di gosok dengan halus sampai lulur mengering dan terlepas berjatuhan dengan kotoran2 di kulit kita.,tidak ada,serbuk,Mustika Madura,Jamu Perawatan Kewanitaan,hingga luar madura,Jl.Jokotole No.30,pamekasan,Tidak ada,
55,Empot Sari Rapet,"mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar.","Daun Kacip Fatimah, gambir, kulit palamelia, daun sirih, rimpang kunyit",3X Sehari 2 Butir,tidak ada,pil,TOKO NUR,Jamu Pasutri,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,Tidak ada,
56,Awet Muda,membantu memelihara kecantikan,"Temu Kunci, Kayu Manis, Bibhitaki, gambir",2X Sehari 2 Butir,tidak ada,pil,TOKO NUR,Jamu Perawatan Kewanitaan,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,Tidak ada,
57,Ma'jun,"menyembuhkan sakit pinggang, pegal linu, encok dan rematik, menghilangkan rasa lelah sehingga menambahan stamina dan syahwat","konyingar, delingu, masoji, sentok, prabas, adas, pulosari ",2X Sehari 1 Butir,tidak ada,pil,TOKO NUR,Jamu Pasutri,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,Tidak ada,
58,Sale Karang,"Untuk sakit gigi, gusi bengkak dan gusi berdarah","jahe, kunyit, temulawak, daun sirih, tumbar, pala, cengkeh",2-3 kali sesudah makan,tidak ada,serbuk,TOKO NUR,Jamu Kesehatan,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,Tidak ada,
59,Ibu Hamil,biar tidak mudah capek,"beras kencur, kunyit,jahe",2-3 kali sesudah makan,tidak ada,pil,TOKO NUR,Jamu Kesehatan,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,Tidak ada,
60,Diabet,menstabilkan kadar gula,"bawang putiih, daun sendok",5x2 sehari,tidak ada,pil,TOKO NUR,Jamu Kesehatan,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,Tidak ada,
61,Nafsu Makan,Untuk menambah nafsu makan,"Adas, pulosari, jahe dll",seminggu 1x,tidak ada,cair,TOKO BU EMA,Jamu Kesehatan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
62,Sehat Pria,Untuk menambah tenaga lelaki saat berhubungan intim,"Jahe, jintan hitam,kiji beling, muso dan kedewung, pinang muda, daun sirih, kulit jeruk",seminggu 1x,tidak ada,cair,TOKO BU EMA,Jamu Pasutri,hingga luar madura,pamekasan,pamekasan,Tidak ada,
63,Sehat Wanita,Untuk menambah stamina perempuan dan menjaga organ kewanitaan,"Jahe, jintan hitam,kiji beling, muso dan kedewung, pinang muda, daun sirih, kulit jeruk, kayu rapet, majaan",seminggu 1x,tidak ada,cair,TOKO BU EMA,Jamu Perawatan Kewanitaan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
64,Nafsu Makan,menambah nafsu makan,"jahe, adas, pulosari, muso, kedewung, temulawak",seminggu2x,tidak ada,cair,TOKO BU EMA,Jamu Kesehatan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
65,Gatal-gatal,untuk menyembuhkan gatal - gatal dan alergi,"jahe, daun sirih, kulit jeruk, sambi roto, muso dan kedewung",sehari 1x,tidak ada,cair,TOKO BU EMA,Jamu Kesehatan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
66,Ibu Melahirkan,memperlancar ASI,"Adas, pulosari, muso , kedwung, daun sirih, kulit jeruk, kayu rapet, majaan, sambi roto","sehari 1x, jika sudah lancar maka boleh seminggu 3x",tidak ada,cair,TOKO BU EMA,Jamu Perawatan Kewanitaan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
67,Jamu Sakit Pinggang,meredakan nyeri pinggang dan menambah stamina,"kiji beling, jahe, muso , kedewung, daun sirih, kulit jeruk, dan pinang muda",seminggu 3x,tidak ada,cair,TOKO BU EMA,Jamu Kesehatan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
68,Jaselang,"Menambah stamina, pegal linu, capek - capek, menghangatkan badan ","jahe emprit, seccang, akar alang-alang, biji pala, kapulaga, dan gula pasir ","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,Jamu Kesehatan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
69,Macho,"Menambah stamina pria dan ereksi, meningkatkan libido, mengobati pegal linu, capek - capek, dan menghangatkan badan","habbatus sauda', pinang muda, bawang putih lanang, temu kunci dll","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,Jamu Pasutri,hingga luar madura,pamekasan,pamekasan,Tidak ada,
70,Kusir,"menghilangkan bau badan, sakit kepala ","kunyit, asam, daun sririh pilihan dll","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,Jamu Kesehatan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
71,Sarpet Manjakani,"mencegah keputihan, menghilangkan bau  badan, merapatkan vagina ","temu kunci, jahe, pinang muda, sirih, manjakani","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,Jamu Perawatan Kewanitaan,hingga luar madura,pamekasan,pamekasan,Tidak ada,
72,Jamu Sondhep,"meredakan nyeri otot bagian bahu, otot pinggang, dan memperlancar peredaran darah","jahe, kencur, daun bawang, bawang","diminum ketika sakit nyeri oto bagian puggung, 1-2 sendok diseduh dengan air hangat",tidak ada,serbuk,TOKO ANGGREK,Jamu Kesehatan,hingga luar madura,"Jl.Anggrek, Lingkungan Delama, pajagalan",Sumenep,Tidak ada,
73,Sale Karang,"sakit gigi,  gusi bengkak dan gusi berdarah","temulawak, kunyit, daum mimba, kedawung","diminum ketika sakit gigi atau gusi, 1-2 diseduh dengan air hangat",tidak ada,serbuk,TOKO ANGGREK,Jamu Kesehatan,hingga luar madura,"Jl.Anggrek, Lingkungan Delama, pajagalan",Sumenep,Tidak ada,
74,Daun sirih,"menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang","daun sirih, kunyit, asam",1 bungkus diseduh dengan air hangat,tidak ada,serbuk,TOKO ANGGREK,Jamu Kesehatan,hingga luar madura,"Jl.Anggrek, Lingkungan Delama, pajagalan",Sumenep,Tidak ada,
75,Kuda Hitam,Untuk meningkatkan kekuatan pada pria saat berhubungan,"tangkur, pasak bumi, pinang muda, bawang lanang, jahe merah, rempah dll",1 bungkus diseduh dengan 150 ml air hangat,tidak ada,serbuk,RATOHQU,Jamu Pasutri,online (se-Indonesia),"Bunten Bar, Ketapang",Sampang,Tidak ada,
76,Jahe Merah Plus,Untuk menambah stamina tubuh Pria dan wanita saat berhubungan,"jahe merah, gula,  sereh, kayu manis, kapulaga, cengkeh",2 sendok makan dan 250 ml air hangat,tidak ada,serbuk,RATOHQU,Jamu Pasutri,online (se-Indonesia),"Bunten Bar, Ketapang",Sampang,Tidak ada,
77,ekstrak jahe,untuk mengobati gejala masuk angin,"jahe emprit, gula,  sereh, kayu manis, kapulaga, cengkeh",2 sendok makan dan 250 ml air hangat,tidak ada,serbuk,RATOHQU,Jamu Kesehatan,online (se-Indonesia),"Bunten Bar, Ketapang",Sampang,Tidak ada,
